TimestampUTC,Model,PromptTokens,CompletionTokens,TotalTokens
2025-04-04T23:20:03.150269+00:00,mistral-large-latest,57,670,727
2025-04-04T23:20:09.035260+00:00,mistral-large-latest,57,470,527
2025-04-04T23:20:09.983204+00:00,mistral-large-latest,57,476,533
2025-04-04T23:20:10.458825+00:00,mistral-large-latest,57,538,595
2025-04-04T23:20:16.364669+00:00,mistral-large-latest,57,632,689
2025-04-04T23:20:17.437088+00:00,mistral-large-latest,57,788,845
2025-04-04T23:20:17.748324+00:00,mistral-large-latest,57,564,621
2025-04-04T23:20:21.039296+00:00,mistral-large-latest,57,813,870
2025-04-04T23:20:27.131001+00:00,mistral-large-latest,57,805,862
2025-04-04T23:49:07.599568+00:00,mistral-large-latest,57,488,545
2025-04-04T23:49:13.451788+00:00,mistral-large-latest,57,543,600
2025-04-04T23:49:13.878719+00:00,mistral-large-latest,57,759,816
2025-04-04T23:49:14.115869+00:00,mistral-large-latest,57,543,600
2025-04-04T23:49:14.604596+00:00,mistral-large-latest,57,491,548
2025-04-04T23:49:17.877505+00:00,mistral-large-latest,57,575,632
2025-04-04T23:49:19.372751+00:00,mistral-large-latest,57,501,558
2025-04-04T23:49:22.959992+00:00,mistral-large-latest,57,657,714
2025-04-04T23:49:23.825922+00:00,mistral-large-latest,57,557,614
2025-04-04T23:49:27.343819+00:00,mistral-large-latest,57,906,963
2025-04-04T23:49:38.436659+00:00,mistral-large-latest,57,804,861
